,Year,Entidad,Tipo.de.delito,Enerosum,Eneromean,Febrerosum,Febreromean,Marzosum,Marzomean,Abrilsum,Abrilmean,Mayosum,Mayomean,Juniosum,Juniomean,Juliosum,Juliomean,Agostosum,Agostomean,Septiembresum,Septiembremean,Octubresum,Octubremean,Noviembresum,Noviembremean,Diciembresum,Diciembremean
55,2016,Quintana Roo,Violencia familiar,140,12.72727273,113,10.27272727,113,10.27272727,100,9.090909091,96,8.727272727,113,10.27272727,108,9.818181818,81,7.363636364,102,9.272727273,161,14.63636364,189,17.18181818,208,18.90909091
56,2016,San Luis Potosí,Violencia familiar,149,2.568965517,277,4.775862069,208,3.586206897,340,5.862068966,125,2.155172414,351,6.051724138,252,4.344827586,437,7.534482759,455,7.844827586,495,8.534482759,445,7.672413793,396,6.827586207
57,2016,Sinaloa,Violencia familiar,169,9.388888889,226,12.55555556,231,12.83333333,216,12,250,13.88888889,197,10.94444444,160,8.888888889,192,10.66666667,200,11.11111111,231,12.83333333,169,9.388888889,130,7.222222222
58,2016,Sonora,Violencia familiar,143,1.932432432,187,2.527027027,252,3.405405405,432,5.837837838,434,5.864864865,576,7.783783784,529,7.148648649,173,2.337837838,189,2.554054054,264,3.567567568,249,3.364864865,167,2.256756757
59,2016,Tabasco,Violencia familiar,303,17.82352941,375,22.05882353,389,22.88235294,325,19.11764706,318,18.70588235,477,28.05882353,540,31.76470588,560,32.94117647,523,30.76470588,514,30.23529412,506,29.76470588,576,33.88235294
60,2016,Tamaulipas,Violencia familiar,281,6.534883721,400,9.302325581,492,11.44186047,503,11.69767442,661,15.37209302,574,13.34883721,551,12.81395349,533,12.39534884,627,14.58139535,590,13.72093023,537,12.48837209,629,14.62790698
61,2016,Tlaxcala,Violencia familiar,1,0.016666667,0,0,0,0,0,0,1,0.016666667,2,0.033333333,1,0.016666667,0,0,0,0,0,0,1,0.016666667,0,0
62,2016,Veracruz de Ignacio de la Llave,Violencia familiar,328,1.53271028,338,1.579439252,397,1.855140187,474,2.214953271,417,1.948598131,431,2.014018692,393,1.836448598,473,2.210280374,392,1.831775701,381,1.780373832,386,1.803738318,361,1.686915888
63,2016,Yucatán,Violencia familiar,160,1.509433962,185,1.745283019,184,1.735849057,181,1.70754717,186,1.754716981,201,1.896226415,237,2.235849057,222,2.094339623,200,1.886792453,180,1.698113208,173,1.632075472,161,1.518867925
64,2016,Zacatecas,Violencia familiar,78,1.344827586,64,1.103448276,82,1.413793103,63,1.086206897,97,1.672413793,105,1.810344828,83,1.431034483,81,1.396551724,141,2.431034483,119,2.051724138,67,1.155172414,95,1.637931034
65,2017,Aguascalientes,Violencia familiar,56,5.090909091,58,5.272727273,69,6.272727273,70,6.363636364,113,10.27272727,113,10.27272727,86,7.818181818,107,9.727272727,100,9.090909091,127,11.54545455,105,9.545454545,98,8.909090909
66,2017,Baja California,Violencia familiar,514,102.8,539,107.8,704,140.8,682,136.4,759,151.8,807,161.4,844,168.8,826,165.2,802,160.4,790,158,679,135.8,608,121.6
67,2017,Baja California Sur,Violencia familiar,175,35,157,31.4,155,31,168,33.6,184,36.8,200,40,177,35.4,171,34.2,168,33.6,178,35.6,140,28,109,21.8
68,2017,Campeche,Violencia familiar,3,0.272727273,6,0.545454545,3,0.272727273,7,0.636363636,7,0.636363636,8,0.727272727,5,0.454545455,6,0.545454545,7,0.636363636,4,0.363636364,5,0.454545455,4,0.363636364
69,2017,Chiapas,Violencia familiar,141,1.194915254,105,0.889830508,116,0.983050847,122,1.033898305,141,1.194915254,111,0.940677966,265,2.245762712,467,3.957627119,510,4.322033898,541,4.584745763,544,4.610169492,443,3.754237288
70,2017,Chihuahua,Violencia familiar,734,10.95522388,781,11.65671642,1000,14.92537313,930,13.88059701,1091,16.28358209,1177,17.56716418,1093,16.31343284,1020,15.2238806,935,13.95522388,1059,15.80597015,887,13.23880597,876,13.07462687
71,2017,Ciudad de México,Violencia familiar,1382,81.29411765,1340,78.82352941,1578,92.82352941,1495,87.94117647,1651,97.11764706,1704,100.2352941,1484,87.29411765,1694,99.64705882,1556,91.52941176,1608,94.58823529,1445,85,1423,83.70588235
72,2017,Coahuila de Zaragoza,Violencia familiar,490,12.89473684,537,14.13157895,743,19.55263158,703,18.5,760,20,1064,28,797,20.97368421,989,26.02631579,825,21.71052632,747,19.65789474,788,20.73684211,525,13.81578947
73,2017,Colima,Violencia familiar,191,19.1,163,16.3,164,16.4,159,15.9,193,19.3,173,17.3,181,18.1,229,22.9,215,21.5,206,20.6,228,22.8,197,19.7
74,2017,Durango,Violencia familiar,484,12.41025641,365,9.358974359,239,6.128205128,437,11.20512821,263,6.743589744,466,11.94871795,525,13.46153846,523,13.41025641,492,12.61538462,473,12.12820513,514,13.17948718,415,10.64102564
75,2017,Guanajuato,Violencia familiar,837,18.19565217,873,18.97826087,984,21.39130435,1022,22.2173913,1205,26.19565217,1042,22.65217391,876,19.04347826,1007,21.89130435,860,18.69565217,989,21.5,810,17.60869565,748,16.26086957
76,2017,Guerrero,Violencia familiar,164,2.024691358,209,2.580246914,292,3.604938272,217,2.679012346,242,2.987654321,208,2.567901235,222,2.740740741,212,2.617283951,229,2.827160494,273,3.37037037,222,2.740740741,206,2.543209877
77,2017,Hidalgo,Violencia familiar,303,3.607142857,375,4.464285714,332,3.952380952,338,4.023809524,444,5.285714286,396,4.714285714,251,2.988095238,453,5.392857143,415,4.94047619,413,4.916666667,401,4.773809524,296,3.523809524
78,2017,Jalisco,Violencia familiar,733,5.817460317,649,5.150793651,823,6.531746032,644,5.111111111,897,7.119047619,942,7.476190476,840,6.666666667,937,7.436507937,838,6.650793651,826,6.555555556,820,6.507936508,608,4.825396825
79,2017,México,Violencia familiar,370,2.96,477,3.816,545,4.36,556,4.448,618,4.944,651,5.208,588,4.704,681,5.448,600,4.8,647,5.176,626,5.008,501,4.008
80,2017,Michoacán de Ocampo,Violencia familiar,60,0.530973451,83,0.734513274,85,0.752212389,70,0.619469027,108,0.955752212,122,1.079646018,107,0.946902655,99,0.876106195,124,1.097345133,122,1.079646018,95,0.840707965,83,0.734513274
